2021/05/31 22:51:47,takuya,鯖,50
27221,takuya,鯖,30
27221,takuya,鯖,33
2021/06/01 06:36:17,takuya,鯖,55
2021/06/01 08:02:06,,,gfdd
06/01 08:29,takuya,鯖,
06/01 08:34,takuya,,30
06/01 08:36,takuya,,２０
06/01 08:39,takuya,鯖,
06/01 08:39,takuya,鯖,
06/01 08:52,takuya,鯖,
06/01 08:53,takuya,鯖,
06/01 09:02,takuya,鯖,
06/01 09:05,takuya,鯖,
06/01 09:08,takuya,鯖,
06/01 09:09,takuya,鯖,
06/01 09:12,takuya,鯖,,最高！
06/01 09:23,,,,最高！
06/01 09:23,,,,最高！
06/01 09:24,,,,最高！
06/01 09:24,,,,最高！
06/01 09:25,ああ,鯖,55,最高！
06/01 09:25,,,,最高！
06/01 09:27,takuya,鯖,30,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:27,,,,最高！
06/01 09:28,,,,最高！
06/01 09:28,,,,最高！
06/01 09:29,,,,最高！
06/01 09:29,,,,最高！
06/01 09:29,,,,最高！
06/01 09:29,,,,最高！
06/01 09:29,,,,最高！
06/01 09:29,,,,最高！
06/01 09:33,,,,最高！
06/01 09:33,,,,最高！
06/01 09:33,,,,最高！
06/01 09:33,,,,最高！
06/01 09:33,,,,最高！
06/01 09:33,,,,最高！
